last_name, first_name,player_id,attempts,avg_hit_angle,anglesweetspotpercent,max_hit_speed,avg_hit_speed,fbld,gb,max_distance,avg_distance,avg_hr_distance,ev95plus,ev95per-swing,ev95percent,barrels,brl_percent,brl_pa
Judge, Aaron,592450,42,11.6,40.5,114,95.3,100,89.1,413,185,391,25,20.5,59.5,11,26.2,16.7
Perez, Salvador,521692,39,24.6,35.9,110.8,93.7,94.8,92.9,441,211,399,20,18.5,51.3,8,20.5,14.3
Ozuna, Marcell,542303,56,13.9,26.8,113.9,92.5,98.1,87.5,429,182,418,32,23.4,57.1,10,17.9,14.1
Stanton, Giancarlo,519317,38,11.6,31.6,116.8,96,98.7,95.6,437,162,398,19,15.6,50.0,8,21.1,13.1
Guerrero, Vladimir,665489,45,9.2,40.0,117.9,93.4,100.3,86.2,467,176,436,25,21.2,55.6,8,17.8,12.1
Abreu, José,547989,38,12,34.2,110.2,95.5,96.9,93.7,400,200,398,23,19.3,60.5,7,18.4,12.1
Peña, Jeremy,665161,39,11.6,35.9,110.3,90.6,95.6,83.8,425,203,417,18,16.7,46.2,7,17.9,12.1
Rizzo, Anthony,519203,46,14.4,37.0,110.4,90.6,97.6,83.1,414,172,391,21,18.4,45.7,8,17.4,11.8
Walker, Christian,572233,40,21.7,40.0,111.9,92.9,96.3,89.5,467,218,415,19,18.1,47.5,7,17.5,11.3
Suzuki, Seiya,673548,33,13.2,42.4,110.9,90.5,94.6,87.7,412,187,397,14,15.4,42.4,7,21.2,11.1
Cron, C.J.,543068,43,9.9,41.9,113,87.2,98.2,76.7,466,195,439,20,15.6,46.5,7,16.3,10.9
Suárez, Eugenio,553993,39,15.1,35.9,107.8,86.1,93,76.2,415,196,391,14,12.7,35.9,7,17.9,10.9
Ramírez, José,608070,53,22.2,43.4,111.6,88.2,92.4,82.6,406,209,384,18,14.3,34.0,7,13.2,10.8
Renfroe, Hunter,592669,36,14.9,30.6,112.5,86.3,95,75.9,402,182,402,12,11.9,33.3,6,16.7,10.3
Riley, Austin,663586,45,13.3,37.8,112.2,93.4,97.2,91.5,437,177,417,25,19.5,55.6,7,15.6,9.9
Murphy, Sean,669221,45,18.3,42.2,114,92.4,98.3,89,452,199,425,23,16.9,51.1,7,15.6,9.9
Varsho, Daulton,662139,35,17.8,40.0,110,89.3,95.3,81.7,406,195,392,17,13.5,48.6,6,17.1,9.8
Crawford, Brandon,543063,46,14.9,28.3,103.6,86.4,89.8,87.2,396,145,396,14,13.1,30.4,6,13.0,9.7
Alonso, Pete,624413,51,20.5,35.3,113.5,89,93.7,82.7,408,178,388,24,18.2,47.1,7,13.7,9.5
Mancini, Trey,641820,45,12,53.3,111.1,92.7,94.9,89.8,404,207,404,25,19.7,55.6,6,13.3,9.1
Franco, Wander,677551,59,6.6,39.0,112.4,91.6,97.6,86.1,417,163,390,30,28.8,50.8,6,10.2,9.1
Castellanos, Nick,592206,46,15.9,45.7,110.1,91.1,95.2,88.5,432,192,403,21,16.4,45.7,6,13.0,9.0
Belt, Brandon,474832,38,20.9,44.7,108.3,87.4,92.6,77.4,385,202,378,15,12.9,39.5,6,15.8,9.0
Espinal, Santiago,669289,39,17.1,53.8,106.9,90,95.3,83.3,379,211,372,20,19.6,51.3,5,12.8,8.9
Freeman, Freddie,518692,50,14.3,46.0,112.3,89.8,95.2,81.7,425,201,397,21,16.4,42.0,6,12.0,8.8
Sanó, Miguel,593934,32,32.3,28.1,107.5,93.2,93.8,91.7,368,220,368,16,15.2,50.0,5,15.6,8.6
McMahon, Ryan,641857,35,17.6,45.7,109.5,91.9,97.9,83.1,447,189,447,13,11.6,37.1,5,14.3,8.6
Harper, Bryce,547180,44,13.7,40.9,113.8,91.7,95.3,87.3,393,201,364,23,15.4,52.3,6,13.6,8.6
Devers, Rafael,646240,56,8.5,26.8,109.4,90,95.2,88.2,382,143,375,29,21.5,51.8,6,10.7,8.6
Mullins, Cedric,656775,45,16.1,31.1,108.8,90.3,96.4,84.8,433,186,423,21,15.1,46.7,6,13.3,8.5
Bellinger, Cody,641355,35,14.1,34.3,107.3,90.9,94.2,89.4,424,170,411,18,13.6,51.4,5,14.3,8.3
Arenado, Nolan,571448,43,28.5,48.8,109.8,90.4,92.7,92.7,386,205,378,17,15.5,39.5,5,11.6,8.2
Brantley, Michael,488726,48,10.3,47.9,106.6,89.7,92.8,85.6,388,181,376,25,25.8,52.1,5,10.4,8.1
Hoskins, Rhys,656555,33,17.6,36.4,107.4,93.4,97.1,90.5,363,180,363,20,20.4,60.6,5,15.2,7.9
Yelich, Christian,592885,35,5.6,31.4,110.6,92.1,95.7,88.2,429,165,429,22,22.0,62.9,5,14.3,7.9
Verdugo, Alex,657077,52,6.5,40.4,109.6,91.8,95.9,87.3,437,173,410,24,25.0,46.2,5,9.6,7.9
Muncy, Max,571970,37,21.4,21.6,106.5,89.6,95.5,86,386,188,381,14,15.1,37.8,5,13.5,7.9
Albies, Ozzie,645277,52,20,42.3,106.6,88.5,91.9,85.2,421,195,397,13,7.2,25.0,6,11.5,7.8
Schwarber, Kyle,656941,39,9.2,20.5,110.3,88.2,96.3,83,468,139,413,17,15.3,43.6,5,12.8,7.7
Hernández, Enrique,571771,47,28,29.8,110.6,88.6,95.6,86.6,353,150,353,15,13.5,31.9,5,10.6,7.2
Brown, Seth,664913,35,15.7,31.4,112.4,89.8,96.1,83.6,427,189,417,15,13.5,42.9,4,11.4,7.1
Dalbec, Bobby,666915,36,22.3,22.2,108.3,89.3,92.3,86.2,391,184,391,16,14.3,44.4,4,11.1,7.1
O'Neill, Tyler,641933,38,14.1,36.8,110.3,87.8,92.4,83.1,396,158,396,12,11.9,31.6,4,10.5,7.1
Edman, Tommy,669242,42,4.6,26.2,112.6,86.4,92.6,85.2,423,122,395,11,11.3,26.2,4,9.5,7.1
Reyes, Franmil,614177,34,15.1,23.5,110.7,92.8,95.7,90.2,400,157,390,15,14.7,44.1,4,11.8,7.0
France, Ty,664034,56,11.3,48.2,110.4,89.6,93.7,86,417,178,393,24,19.5,42.9,5,8.9,6.8
Cruz, Nelson,443558,51,12,35.3,112.7,89.5,95.5,85.3,426,148,414,23,14.3,45.1,5,9.8,6.8
Profar, Jurickson,595777,39,13.3,35.9,106.7,89.7,96.4,85.1,418,180,394,14,14.9,35.9,4,10.3,6.6
Tucker, Kyle,663656,41,19.6,36.6,109,88.9,91.1,84,423,222,414,15,12.9,36.6,4,9.8,6.6
Bregman, Alex,608324,43,21.9,30.2,106,87.4,90.4,83.8,399,187,368,13,14.6,30.2,4,9.3,6.6
Bogaerts, Xander,593428,44,9.3,25.0,112.1,90.2,95.6,87.1,400,151,400,24,19.8,54.5,4,9.1,6.5
Sánchez, Jesús,660821,41,5.3,26.8,114,90,95.8,84.3,439,147,419,19,16.4,46.3,4,9.8,6.5
Soto, Juan,665742,51,5.9,19.6,113.2,87.7,100.3,80.2,451,139,420,21,21.9,41.2,5,9.8,6.3
Joe, Connor,656582,44,13.9,43.2,107.2,88.3,90.2,87.9,444,186,400,16,14.5,36.4,4,9.1,6.3
Mountcastle, Ryan,663624,46,13.8,43.5,112,90.4,93.1,88.1,373,172,373,18,12.3,39.1,4,8.7,5.9
Franco, Maikel,596748,50,12.7,32.0,111.7,90.2,91.9,90.2,413,171,404,22,16.7,44.0,4,8.0,5.8
Ohtani, Shohei,660271,45,14.3,26.7,119.1,91,94.9,89.3,415,161,404,16,11.6,35.6,4,8.9,5.5
Rendon, Anthony,543685,33,12.2,39.4,105.8,90.2,93,87.4,419,182,389,12,12.8,36.4,3,9.1,5.3
Happ, Ian,664023,37,6.4,29.7,106.7,88.6,97.4,87.7,393,131,393,17,15.3,45.9,3,8.1,5.3
Olson, Matt,621566,48,10.4,41.7,113,94.3,96.7,92.1,417,162,401,25,16.3,52.1,4,8.3,5.3
LeMahieu, DJ,518934,41,6.2,36.6,107.6,93,96.8,90.6,379,152,371,24,24.0,58.5,3,7.3,5.2
Flores, Wilmer,527038,47,12.2,38.3,106.2,88.4,89.9,88,394,169,394,15,14.6,31.9,3,6.4,5.2
Kelenic, Jarred,672284,31,18.5,22.6,114,85.3,95.6,82.1,389,168,384,9,8.1,29.0,3,9.7,5.2
Contreras, Willson,575929,38,1.8,23.7,116.2,94.3,98.8,91,453,140,422,23,23.7,60.5,3,7.9,5.1
Hayes, Ke'Bryan,663647,42,2.7,40.5,110,90.9,91.4,90.4,397,152,,19,19.6,45.2,3,7.1,5.1
Goldschmidt, Paul,502671,44,19.8,22.7,109,88.7,92.5,87.7,391,170,,21,18.1,47.7,3,6.8,4.8
Polanco, Jorge,593871,37,19.8,37.8,110.2,88.3,92.7,85.4,424,175,396,15,13.4,40.5,3,8.1,4.7
Swanson, Dansby,621020,32,9.9,37.5,107.3,87.4,91.3,83,397,157,,11,9.8,34.4,3,9.4,4.7
Reynolds, Bryan,668804,41,8.3,41.5,107.3,86.6,91.7,82.5,410,170,407,16,12.1,39.0,3,7.3,4.7
Donaldson, Josh,518626,35,18.9,51.4,111.7,94.3,95.4,93.1,421,193,412,16,13.4,45.7,3,8.6,4.6
Adames, Willy,642715,39,15.3,38.5,108.6,90.2,93.1,87.4,442,157,442,16,14.0,41.0,3,7.7,4.5
Lowe, Brandon,664040,45,13.8,26.7,112.2,87.5,91.4,85.3,437,159,418,15,11.5,33.3,3,6.7,4.5
Winker, Jesse,608385,44,24.4,36.4,106.7,86.6,90.1,84,400,195,,11,8.3,25.0,3,6.8,4.4
Semien, Marcus,543760,49,23.6,38.8,108.1,85.7,89.2,81.9,395,213,,12,9.3,24.5,3,6.1,4.4
Bichette, Bo,666182,49,2.2,30.6,109.9,89.2,94.2,86.6,425,120,425,22,15.2,44.9,3,6.1,4.2
Machado, Manny,592518,48,10.8,25.0,112,88.7,96.1,86.2,381,146,366,25,21.2,52.1,3,6.3,4.2
Cronenworth, Jake,630105,45,14.9,37.8,108.3,87.2,93,81.7,380,189,380,17,17.7,37.8,3,6.7,4.2
Lindor, Francisco,596019,54,11,29.6,108.2,88.4,95,83.9,396,165,376,18,12.5,33.3,3,5.6,3.9
Blackmon, Charlie,453568,39,13.5,35.9,107.7,88.7,92.3,84,453,173,407,17,18.1,43.6,2,5.1,3.6
Nola, Austin,543592,43,12,39.5,104.2,91.1,92.8,88.8,393,200,393,18,19.6,41.9,2,4.7,3.5
Mateo, Jorge,622761,35,16.7,57.1,106.9,88.6,88.1,90.6,401,200,,11,10.4,31.4,2,5.7,3.5
McNeil, Jeff,643446,47,13.1,31.9,104.8,87.1,89.5,86.9,405,154,405,14,12.5,29.8,2,4.3,3.4
Kepler, Max,596146,40,5.5,30.0,110.4,90.4,91.8,89.6,411,145,411,15,15.2,37.5,2,5.0,3.3
Aguilar, Jesús,542583,38,23.9,36.8,108.1,88.9,91.2,90,404,201,,13,11.6,34.2,2,5.3,3.3
Farmer, Kyle,571657,44,13.3,40.9,104.5,83.6,89.5,78.4,373,155,,13,13.1,29.5,2,4.5,3.3
Bryant, Kris,592178,44,7.6,20.5,107.9,82.6,87.9,79.1,401,140,,11,9.2,25.0,2,4.5,3.3
Rodríguez, Julio,677594,31,4.1,32.3,112.9,92.5,99.2,87.4,361,149,,18,14.9,58.1,2,6.5,3.2
Chapman, Matt,656305,41,26.3,29.3,111.4,91.7,95.6,92.1,432,171,417,19,17.1,46.3,2,4.9,3.2
Candelario, Jeimer,600869,42,11.5,40.5,107.6,90.3,94.5,88.3,393,157,,14,12.5,33.3,2,4.8,3.2
Realmuto, J.T.,592663,43,9.6,34.9,110.4,87,91.2,83,410,150,410,17,14.7,39.5,2,4.7,3.2
McCutchen, Andrew,457705,44,15,38.6,105,86.4,92,81.3,401,172,,16,14.5,36.4,2,4.5,3.2
Grisham, Trent,663757,37,13.5,24.3,107.8,82.3,92.2,75.7,353,160,353,10,11.2,27.0,2,5.4,3.2
Springer, George,543807,42,13.2,50.0,111.9,90.2,94.2,85.2,382,187,367,18,15.1,42.9,2,4.8,3.2
Seager, Corey,608369,48,17.5,33.3,110.2,89.5,94.8,82.4,401,186,401,19,15.2,39.6,2,4.2,3.2
Lowe, Nathaniel,663993,49,1.1,32.7,113,89.1,91.4,89,387,114,387,18,16.1,36.7,2,4.1,3.2
Estrada, Thairo,642731,50,4.2,24.0,107.9,87.8,91.7,85.2,418,133,399,16,14.3,32.0,2,4.0,3.2
Duvall, Adam,594807,37,29.9,32.4,108,92.2,92.1,99.5,383,191,,17,14.7,45.9,2,5.4,3.1
Hays, Austin,669720,43,12.1,30.2,109,90,95.1,85.2,384,179,384,18,16.8,41.9,2,4.7,3.1
Gurriel Jr., Lourdes,666971,50,15.8,36.0,109.2,92,94.7,90.5,368,172,368,24,20.7,48.0,2,4.0,3.0
Santander, Anthony,623993,37,17.9,32.4,111.2,90.4,94.6,94.2,411,159,411,16,13.0,43.2,2,5.4,3.0
Bell, Josh,605137,49,9.3,42.9,112.2,87.5,86.7,90.2,443,140,421,20,17.7,40.8,2,4.1,3.0
Soler, Jorge,624585,40,10,25.0,114.8,85.6,94.1,81.2,428,129,428,15,11.5,37.5,2,5.0,3.0
Crawford, J.P.,641487,51,10.7,39.2,109.3,82.8,87.7,77.1,396,160,389,16,15.5,31.4,2,3.9,2.9
Ruf, Darin,573131,40,16.2,37.5,112.1,92.2,94.8,88.4,383,200,,19,17.0,47.5,2,5.0,2.9
Escobar, Eduardo,500871,42,24.2,23.8,109.2,88.4,90.9,86.9,356,181,356,16,12.5,38.1,2,4.8,2.9
Marte, Starling,516782,53,10.1,39.6,108.8,80.3,88.9,73.7,419,142,405,11,9.1,20.8,2,3.8,2.9
Hernández, César,514917,62,10.7,27.4,110.8,85.5,90.3,84.2,373,143,,22,15.6,35.5,2,3.2,2.5
Garver, Mitch,641598,34,18.3,23.5,110.3,88.4,88.8,87.6,447,153,447,13,11.7,38.2,1,2.9,1.8
Myers, Wil,571976,35,12.7,25.7,109.4,88.2,90.8,85.4,404,161,,12,12.1,34.3,1,2.9,1.8
Peralta, David,444482,40,23.1,37.5,110.5,90.6,89.6,97.2,406,193,406,16,14.7,40.0,1,2.5,1.8
Kwan, Steven,680757,40,19,42.5,103,83.1,86.8,79.6,369,171,,8,8.7,20.0,1,2.5,1.8
Tsutsugo, Yoshi,660294,35,10.1,37.1,102.2,88.5,93.1,85.4,380,166,,12,10.1,34.3,1,2.9,1.7
Hosmer, Eric,543333,46,6.3,34.8,112.9,85.7,93.9,84,366,119,,19,15.0,41.3,1,2.2,1.7
Escobar, Alcides,444876,37,21.9,35.1,100.3,80.4,87.3,74.4,381,170,,5,4.4,13.5,1,2.7,1.7
Correa, Carlos,621043,34,9,29.4,113.4,92.4,97.9,88.5,458,162,458,20,15.7,58.8,1,2.9,1.7
Andrus, Elvis,462101,42,8.5,35.7,109.8,86.8,91.9,84.8,385,149,385,10,10.0,23.8,1,2.4,1.6
Schwindel, Frank,643524,49,10.4,26.5,104.9,86.4,90.9,86.5,382,127,380,15,13.0,30.6,1,2.0,1.6
Turner, Justin,457759,46,16.5,37.0,104.3,87.4,91,84.8,366,163,,16,13.8,34.8,1,2.2,1.6
Schoop, Jonathan,570731,48,11.2,33.3,110.9,87,92.3,86.8,399,157,399,18,14.4,37.5,1,2.1,1.6
García, Adolis,666969,39,17.5,35.9,109.5,93.6,94.5,95.9,404,172,402,20,16.0,51.3,1,2.6,1.6
Rosario, Amed,642708,46,2.3,37.0,109.8,88.1,92.6,85.1,367,128,,15,13.2,32.6,1,2.2,1.6
Votto, Joey,458015,31,12.2,29.0,111.9,87.1,94,82.5,341,134,,8,6.2,25.8,1,3.2,1.6
